,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
19107,PRT,Complementary,1,0,No Deposit,0,Transient,F,0,2,1
72576,FRA,Direct,0,3,No Deposit,0,Transient-Party,D,0,3,0
74350,PRT,Corporate,2,0,No Deposit,0,Transient,A,1,0,0
23357,PRT,Complementary,1,0,No Deposit,0,Transient,D,0,4,0
3279,IRL,Groups,24,0,No Deposit,0,Transient-Party,A,0,0,1
45136,NOR,Online TA,0,16,No Deposit,0,Transient,A,0,3,0
1893,PRT,Online TA,0,0,No Deposit,0,Transient,H,0,1,1
6998,FRA,Direct,0,2,No Deposit,0,Transient-Party,E,1,2,0
27434,PRT,Groups,0,0,Non Refund,84,Transient,A,0,0,1
22473,PRT,Direct,0,4,No Deposit,0,Transient,F,0,0,0
585,FRA,Direct,0,0,No Deposit,0,Transient,F,1,0,0
110,PRT,Offline TA/TO,0,0,No Deposit,215,Transient-Party,A,0,0,1
6719,PRT,Offline TA/TO,0,0,Non Refund,55,Transient,A,0,0,1
14518,PRT,Offline TA/TO,6,0,Non Refund,44,Transient,A,0,0,1
7580,PRT,Offline TA/TO,1,0,Non Refund,56,Transient,A,0,0,1
38570,PRT,Groups,0,0,No Deposit,97,Transient,E,0,1,0
42,PRT,Complementary,0,0,No Deposit,0,Transient,B,0,1,0
18020,BGR,Direct,0,1,No Deposit,0,Transient,A,1,4,0
26901,PRT,Online TA,1,0,No Deposit,0,Contract,F,0,0,1
5178,PRT,Online TA,1,0,No Deposit,0,Transient,A,0,3,1
511,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,0
11085,PRT,Direct,0,2,No Deposit,0,Transient-Party,G,0,0,0
15727,PRT,Online TA,0,0,No Deposit,0,Contract,A,1,0,0
1518,PRT,Online TA,0,0,No Deposit,0,Transient,G,0,2,0
51836,NLD,Groups,0,1,No Deposit,0,Transient-Party,A,2,0,0
38540,FRA,Groups,0,0,No Deposit,84,Transient-Party,A,0,1,0
1848,FRA,Groups,0,5,No Deposit,87,Transient-Party,A,0,0,0
1147,PRT,Online TA,0,1,No Deposit,0,Transient,B,0,0,0
51226,GBR,Corporate,0,2,No Deposit,13,Transient-Party,A,0,0,0
2099,DEU,Groups,0,1,No Deposit,0,Contract,A,0,0,0
2407,ESP,Online TA,0,0,No Deposit,0,Transient-Party,E,1,0,0
2270,PRT,Direct,1,0,No Deposit,0,Transient,E,0,2,0
1607,PRT,Online TA,0,0,No Deposit,0,Contract,A,0,3,0
69675,PRT,Corporate,1,2,No Deposit,0,Transient,A,1,1,0
13944,PRT,Complementary,2,1,No Deposit,0,Transient,D,0,2,0
80357,POL,Direct,0,6,No Deposit,0,Transient,E,1,2,0
339,PRT,Offline TA/TO,1,0,Non Refund,46,Transient,A,0,0,1
44035,TUR,Groups,0,0,Non Refund,2,Transient-Party,A,0,0,0
3561,PRT,Offline TA/TO,0,0,Non Refund,70,Transient,A,0,0,1
40441,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,5,0
4025,PRT,Direct,0,0,No Deposit,0,Transient,E,1,4,0
58944,PRT,Offline TA/TO,0,0,Non Refund,7,Transient,A,0,0,1
6250,PRT,Direct,0,2,No Deposit,0,Transient,D,1,2,0
24526,PRT,Direct,0,1,No Deposit,1,Transient,E,0,1,1
21403,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,C,0,0,0
5204,GBR,Online TA,0,6,No Deposit,0,Transient,A,0,2,1
24118,FRA,Direct,13,1,No Deposit,0,Transient,D,0,0,0
57270,GBR,Offline TA/TO,0,3,No Deposit,0,Contract,A,0,1,0
618,PRT,Groups,0,0,Non Refund,57,Transient,A,0,0,1
12741,PRT,Groups,1,2,No Deposit,0,Transient,A,1,0,0
438,FRA,Online TA,0,0,No Deposit,0,Transient,C,0,1,0
35108,PRT,Groups,11,0,No Deposit,31,Transient-Party,A,0,0,1
2098,PRT,Corporate,3,1,No Deposit,0,Transient,A,1,0,0
43735,PRT,Complementary,2,0,No Deposit,0,Transient,A,1,1,0
770,ESP,Direct,0,3,No Deposit,0,Transient,D,0,0,0
36391,NLD,Offline TA/TO,0,3,No Deposit,63,Transient-Party,A,0,0,0
52019,GBR,Groups,0,0,No Deposit,6,Transient-Party,D,0,0,0
55229,PRT,Offline TA/TO,0,1,No Deposit,56,Transient-Party,A,0,0,0
2127,ITA,Online TA,0,3,No Deposit,0,Transient,D,0,2,1
167,USA,Online TA,0,1,No Deposit,0,Transient,D,0,1,0
7717,ITA,Online TA,0,3,No Deposit,0,Transient,G,1,1,0
8829,PRT,Groups,0,0,No Deposit,50,Transient-Party,A,0,0,1
25076,NLD,Groups,0,7,No Deposit,0,Transient-Party,C,0,0,0
313,PRT,Online TA,0,0,No Deposit,0,Transient,G,1,1,0
10507,PRT,Online TA,0,2,No Deposit,0,Group,D,0,1,0
29779,AUT,Groups,0,0,No Deposit,53,Transient-Party,A,0,0,0
25325,BRA,Online TA,0,2,No Deposit,0,Transient,A,1,4,0
49571,ITA,Offline TA/TO,0,2,No Deposit,25,Transient-Party,A,0,0,0
34932,PRT,Direct,0,4,No Deposit,0,Transient,G,1,2,0
1714,PRT,Online TA,1,0,No Deposit,0,Contract,A,0,2,1
170,BEL,Online TA,0,2,No Deposit,0,Transient,D,1,1,0
1381,ESP,Offline TA/TO,0,0,No Deposit,65,Transient-Party,A,0,0,0
30674,POL,Online TA,0,0,No Deposit,0,Transient,A,2,2,0
7803,PRT,Direct,0,0,No Deposit,0,Transient-Party,F,1,2,0
362,GBR,Online TA,0,1,No Deposit,0,Transient,E,0,1,1
1367,PRT,Groups,0,1,No Deposit,58,Transient-Party,A,0,0,0
1356,PRT,Online TA,11,0,No Deposit,0,Transient,A,0,1,0
53132,ESP,Online TA,0,0,No Deposit,0,Contract,F,1,2,0
49873,PRT,Groups,0,0,Non Refund,26,Transient,A,0,0,1
71269,IRL,Online TA,0,8,No Deposit,0,Transient,D,0,3,0
5991,PRT,Groups,0,0,Non Refund,20,Transient,A,0,0,1
2748,ESP,Direct,0,1,No Deposit,0,Transient,F,1,0,0
789,PRT,Online TA,0,0,No Deposit,0,Transient-Party,A,2,1,0
60946,PRT,Direct,0,1,No Deposit,0,Transient,H,1,2,0
61303,BRA,Online TA,11,0,No Deposit,0,Transient-Party,A,1,0,0
6181,PRT,Corporate,0,0,No Deposit,0,Group,A,1,0,0
1343,FRA,Online TA,0,2,No Deposit,0,Transient,A,1,2,0
58612,PRT,Online TA,4,0,No Deposit,0,Transient,A,0,4,1
11879,ITA,Offline TA/TO,0,0,No Deposit,111,Transient-Party,A,0,0,0
20961,DEU,Offline TA/TO,0,1,No Deposit,162,Transient-Party,A,0,0,0
70590,GBR,Online TA,0,0,No Deposit,0,Transient,B,1,2,0
33662,IRL,Online TA,0,0,No Deposit,0,Group,D,1,1,0
8752,FRA,Direct,0,0,No Deposit,0,Transient-Party,C,0,1,0
28384,ESP,Online TA,0,3,No Deposit,0,Transient,D,1,5,0
2821,OMN,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,3,0
26136,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,2,0
8013,POL,Groups,0,0,No Deposit,75,Transient-Party,A,0,0,0
5406,CHN,Groups,0,0,No Deposit,34,Transient-Party,E,0,0,0
52624,PRT,Online TA,0,2,No Deposit,0,Transient-Party,H,0,1,0
955,POL,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,1,1,0
10595,ESP,Online TA,0,1,No Deposit,0,Transient-Party,G,1,0,0
73999,PRT,Online TA,0,10,No Deposit,0,Transient-Party,A,1,4,0
8790,FRA,Groups,0,0,No Deposit,61,Transient-Party,A,0,1,0
4535,BEL,Offline TA/TO,0,1,No Deposit,0,Group,D,0,2,0
107,FRA,Online TA,0,2,No Deposit,0,Transient,D,0,2,0
1844,IRL,Direct,0,0,No Deposit,0,Transient-Party,D,0,3,0
17093,GBR,Online TA,0,7,No Deposit,0,Transient,D,0,1,0
9852,PRT,Offline TA/TO,0,0,No Deposit,50,Transient-Party,D,0,0,0
4672,PRT,Corporate,2,0,No Deposit,0,Transient,A,0,0,1
22923,FRA,Groups,0,2,No Deposit,34,Transient-Party,A,0,1,0
49165,PRT,Online TA,0,0,No Deposit,0,Transient-Party,D,1,4,0
610,PRT,Online TA,1,0,No Deposit,0,Transient,G,0,0,1
55817,GBR,Offline TA/TO,0,0,No Deposit,0,Contract,C,0,1,0
49138,GBR,Direct,1,0,No Deposit,0,Group,C,0,2,1
31193,PRT,Corporate,2,0,No Deposit,0,Transient-Party,A,0,0,0
5222,ESP,Online TA,0,0,No Deposit,0,Transient,H,1,1,0
5197,PRT,Direct,0,4,No Deposit,0,Transient,E,1,4,0
1150,PRT,Online TA,0,1,No Deposit,0,Transient-Party,B,0,1,0
40858,PRT,Direct,0,0,No Deposit,0,Transient-Party,B,1,1,0
38060,AUT,Online TA,0,8,No Deposit,0,Transient-Party,F,0,0,1
94,FRA,Direct,0,0,No Deposit,0,Transient,A,1,0,0
1071,PRT,Corporate,1,0,No Deposit,0,Transient,A,0,1,0
1548,USA,Online TA,0,4,No Deposit,0,Transient,D,0,3,0
1331,COL,Direct,0,3,No Deposit,0,Transient-Party,B,0,1,0
37460,CHL,Online TA,0,3,No Deposit,0,Transient-Party,E,1,2,0
6393,NOR,Online TA,0,1,No Deposit,0,Transient,E,0,3,0
67126,PRT,Direct,0,0,No Deposit,0,Group,G,0,2,0
1407,FRA,Groups,0,0,No Deposit,236,Transient-Party,A,0,0,0
1341,ISR,Online TA,0,3,No Deposit,0,Transient-Party,A,0,0,0
7085,DEU,Offline TA/TO,0,0,No Deposit,80,Transient-Party,A,0,0,0
2072,KAZ,Offline TA/TO,0,1,No Deposit,48,Transient-Party,A,0,0,0
5242,DEU,Online TA,0,0,No Deposit,0,Transient,C,1,1,0
34827,FRA,Groups,0,1,No Deposit,34,Transient,A,0,1,0
81,PRT,Direct,0,1,No Deposit,0,Transient-Party,E,0,2,0
9998,PRT,Online TA,2,0,No Deposit,0,Transient-Party,A,0,2,1
1916,ESP,Direct,0,3,No Deposit,0,Transient,H,1,0,0
33680,GBR,Online TA,0,2,No Deposit,0,Transient,C,0,3,0
2217,PRT,Online TA,0,0,No Deposit,0,Transient-Party,C,0,0,0
65999,PRT,Corporate,1,2,No Deposit,0,Transient,A,1,2,0
76247,ESP,Groups,0,0,No Deposit,18,Transient-Party,A,0,0,0
83180,USA,Groups,0,4,No Deposit,0,Transient-Party,D,0,2,0
2015,PRT,Online TA,0,4,No Deposit,0,Contract,A,0,1,0
817,PRT,Direct,0,1,No Deposit,0,Transient,D,1,2,0
25161,PRT,Direct,0,5,No Deposit,0,Transient,C,0,0,0
4397,DEU,Online TA,0,1,No Deposit,0,Contract,F,0,0,0
8982,,Complementary,0,0,No Deposit,0,Transient,P,0,0,1
49938,PRT,Corporate,1,0,No Deposit,0,Transient,D,1,2,0
10327,PRT,Corporate,1,1,No Deposit,0,Transient,D,1,2,0
47215,PRT,Direct,0,4,No Deposit,0,Transient,G,0,1,0
62235,FRA,Groups,0,0,No Deposit,49,Transient-Party,A,0,1,0
3147,BEL,Online TA,0,1,No Deposit,0,Transient,F,1,1,0
10779,GBR,Direct,0,2,No Deposit,0,Transient,E,0,4,1
6430,GBR,Complementary,0,4,No Deposit,0,Transient-Party,A,0,1,0
50040,PRT,Direct,0,2,No Deposit,0,Group,G,1,2,0
57427,PRT,Online TA,1,0,No Deposit,0,Contract,C,0,1,1
47638,DEU,Offline TA/TO,0,1,No Deposit,223,Transient,A,0,0,0
40436,FRA,Online TA,0,0,No Deposit,0,Transient,D,0,5,0
63596,PRT,Direct,0,5,No Deposit,0,Transient,E,1,1,0
12838,PRT,Offline TA/TO,0,2,No Deposit,56,Transient,A,0,0,0
44351,PRT,Online TA,1,1,No Deposit,0,Contract,A,0,1,1
39693,ESP,Offline TA/TO,0,4,No Deposit,63,Transient-Party,A,0,0,0
281,PRT,Offline TA/TO,0,0,No Deposit,162,Transient-Party,A,0,0,1
947,NLD,Online TA,0,0,No Deposit,0,Contract,D,0,2,0
34488,PRT,Direct,0,5,No Deposit,0,Transient,C,0,2,0
59385,PRT,Online TA,1,0,No Deposit,0,Transient-Party,D,0,1,1
1749,PRT,Offline TA/TO,0,0,Non Refund,68,Transient,A,0,0,1
605,PRT,Online TA,0,0,No Deposit,0,Transient,C,0,2,0
39411,PRT,Complementary,0,0,No Deposit,0,Transient,B,0,4,0
15704,PRT,Online TA,1,0,No Deposit,0,Transient,E,0,1,1
45025,GBR,Offline TA/TO,0,3,No Deposit,0,Contract,D,0,2,0
64327,FRA,Groups,0,1,No Deposit,74,Transient-Party,A,0,0,0
11887,PRT,Online TA,1,0,No Deposit,0,Transient-Party,A,0,3,1
38905,GBR,Groups,0,2,No Deposit,113,Transient-Party,D,0,0,0
2424,AUT,Online TA,0,0,No Deposit,0,Transient,B,0,2,1
11709,PRT,Groups,0,0,Non Refund,75,Transient,A,0,0,1
10513,PRT,Online TA,1,0,No Deposit,0,Contract,D,0,2,1
24864,PRT,Online TA,1,0,No Deposit,0,Transient,B,0,1,1
3767,PRT,Groups,0,1,No Deposit,49,Transient-Party,A,0,0,0
11677,PRT,Online TA,0,5,No Deposit,0,Transient,D,0,2,0
28354,PRT,Direct,0,3,No Deposit,0,Transient,C,1,2,0
2600,PRT,Groups,0,0,Non Refund,183,Transient,A,0,0,1
6722,PRT,Direct,0,4,No Deposit,0,Transient,C,0,0,1
4125,PRT,Direct,1,0,No Deposit,0,Transient-Party,B,0,1,1
1881,CN,Groups,0,1,No Deposit,0,Transient-Party,E,0,0,0
1598,MEX,Online TA,0,1,No Deposit,0,Transient,G,0,1,0
20609,PRT,Online TA,0,3,No Deposit,0,Transient,A,1,3,0
67321,PRT,Direct,0,0,No Deposit,0,Group,G,1,0,0
15397,PRT,Corporate,6,1,No Deposit,0,Transient,A,0,1,0
1645,FRA,Offline TA/TO,0,1,No Deposit,0,Contract,A,0,1,0
8952,BEL,Online TA,0,0,No Deposit,0,Contract,A,0,5,0
998,GBR,Groups,0,0,No Deposit,0,Transient-Party,D,1,0,0
2693,PRT,Online TA,1,0,No Deposit,0,Contract,A,0,1,1
73004,PRT,Online TA,0,2,No Deposit,0,Transient,F,2,1,0
25040,FRA,Offline TA/TO,0,0,No Deposit,43,Transient-Party,A,0,2,0
21564,PRT,Offline TA/TO,0,0,Non Refund,101,Transient,B,0,0,1
14028,PRT,Offline TA/TO,0,0,Non Refund,25,Transient,A,0,0,1
56952,GBR,Online TA,0,1,No Deposit,0,Transient,G,1,3,0
545,PRT,Direct,0,3,No Deposit,0,Transient,F,1,0,0
72044,USA,Direct,0,3,No Deposit,0,Transient,H,1,1,0
4530,GBR,Groups,0,1,No Deposit,0,Transient-Party,D,1,0,0
21846,ITA,Offline TA/TO,0,4,No Deposit,0,Transient-Party,A,0,2,0
18593,ISR,Groups,0,0,No Deposit,6,Transient-Party,A,0,0,0
2123,GBR,Offline TA/TO,0,0,No Deposit,0,Group,A,0,3,0
79278,PRT,Groups,0,0,Non Refund,76,Transient,D,0,0,1
16109,GBR,Online TA,0,3,No Deposit,0,Transient,C,0,2,0
50,BEL,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
2837,PRT,Groups,0,0,No Deposit,176,Transient-Party,A,0,0,1
7144,PRT,Online TA,0,1,No Deposit,0,Contract,B,0,0,0
21193,PRT,Offline TA/TO,1,0,No Deposit,0,Contract,E,0,0,1
1425,AUT,Groups,0,1,No Deposit,176,Transient-Party,A,0,1,0
2372,EST,Online TA,0,6,No Deposit,0,Transient,A,0,1,1
79883,AUT,Groups,0,2,No Deposit,176,Transient-Party,A,0,0,0
22634,LTU,Online TA,0,5,No Deposit,0,Transient,D,1,3,0
1519,PRT,Offline TA/TO,1,0,Non Refund,19,Transient,A,0,0,1
2426,NOR,Online TA,0,2,No Deposit,0,Transient-Party,D,0,2,0
6105,PRT,Online TA,0,1,No Deposit,0,Transient-Party,D,0,3,0
3565,PRT,Groups,1,0,Non Refund,10,Transient,A,0,0,1
1670,BRA,Online TA,0,0,No Deposit,0,Transient-Party,D,1,1,0
22337,,Direct,1,3,No Deposit,0,Transient,D,0,1,0
26685,FRA,Offline TA/TO,0,3,No Deposit,68,Transient-Party,A,0,1,0
2275,PRT,Online TA,1,0,No Deposit,0,Transient,D,0,3,1
21722,PRT,Offline TA/TO,0,1,No Deposit,224,Transient-Party,A,0,0,0
105,PRT,Online TA,0,1,No Deposit,0,Transient-Party,A,0,3,0
54769,PRT,Complementary,0,4,No Deposit,4,Transient-Party,A,0,0,0
9034,ITA,Online TA,0,3,No Deposit,0,Transient-Party,B,0,2,0
832,FIN,Online TA,0,0,No Deposit,0,Transient-Party,D,1,2,0
9762,PRT,Corporate,1,1,No Deposit,0,Transient,A,1,2,0
38252,PRT,Direct,0,2,No Deposit,0,Transient,D,1,4,0
2138,CHN,Online TA,0,4,No Deposit,0,Transient,D,0,2,1
35442,DEU,Online TA,0,0,No Deposit,0,Transient-Party,A,0,5,0
3159,MAR,Online TA,0,4,No Deposit,0,Transient,A,0,2,0
33056,GBR,Offline TA/TO,0,0,No Deposit,0,Group,E,0,2,0
2582,PRT,Direct,0,2,No Deposit,0,Transient-Party,D,0,0,0
35860,ESP,Direct,0,0,No Deposit,0,Transient-Party,C,1,3,0
2831,IRL,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,5,0
19404,NLD,Groups,0,1,No Deposit,1,Transient-Party,A,0,0,0
47850,SWE,Groups,0,4,No Deposit,0,Transient-Party,E,1,0,0
52006,GBR,Groups,0,1,No Deposit,113,Transient-Party,A,0,0,0
3574,PRT,Online TA,1,0,No Deposit,0,Contract,D,0,1,1
3027,PRT,Online TA,0,1,No Deposit,0,Transient-Party,D,1,2,0
5123,GBR,Groups,0,2,No Deposit,0,Transient-Party,A,1,0,0
38250,PRT,Online TA,0,0,No Deposit,0,Contract,A,1,3,0
28902,PRT,Direct,0,3,No Deposit,0,Transient,G,1,2,0
64029,ESP,Direct,0,4,No Deposit,0,Transient-Party,F,1,0,0
9058,PRT,Corporate,1,2,No Deposit,0,Transient,A,0,1,0
235,PRT,Direct,0,2,No Deposit,0,Transient,E,0,0,0
52139,SWE,Offline TA/TO,0,1,No Deposit,0,Contract,E,1,2,0
1113,POL,Groups,0,1,No Deposit,75,Transient-Party,A,0,0,0
15692,ISR,Online TA,0,4,No Deposit,0,Transient,F,0,1,0
334,GBR,Online TA,0,3,No Deposit,0,Transient,A,0,0,0
74291,FRA,Direct,0,2,No Deposit,0,Transient-Party,E,0,2,0
2430,PRT,Direct,0,3,No Deposit,0,Transient,D,0,3,0
77135,ISL,Offline TA/TO,0,0,No Deposit,187,Transient-Party,A,0,1,0
4996,EGY,Online TA,0,7,No Deposit,0,Transient,A,0,2,0
6,PRT,Groups,0,0,Non Refund,0,Transient,A,0,0,1
1293,PRT,Offline TA/TO,0,0,No Deposit,0,Transient,C,1,0,0
51350,CHE,Online TA,0,2,No Deposit,0,Transient-Party,F,0,1,0
168,CN,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,1,0
2796,PRT,Offline TA/TO,0,0,Non Refund,21,Transient,A,0,0,1
816,AUT,Online TA,0,1,No Deposit,0,Transient-Party,E,0,3,0
51344,PRT,Offline TA/TO,0,0,Non Refund,193,Transient,A,0,0,1
16195,DEU,Online TA,0,0,No Deposit,0,Group,D,0,3,0
10071,ESP,Direct,0,1,No Deposit,0,Transient,B,1,0,0
24420,FRA,Direct,0,1,No Deposit,0,Transient-Party,B,0,2,0
4443,PRT,Online TA,0,2,No Deposit,0,Transient,C,1,2,0
2862,PRT,Online TA,0,0,No Deposit,0,Group,B,0,2,0
938,PRT,Groups,0,0,Non Refund,32,Transient,A,0,0,1
34853,PRT,Groups,0,0,Non Refund,46,Transient,A,0,0,1
82572,ESP,Direct,0,3,No Deposit,0,Transient-Party,F,0,1,0
20323,AUT,Groups,0,0,No Deposit,176,Transient-Party,A,0,1,0
23899,FRA,Online TA,0,0,No Deposit,0,Transient,D,2,1,0
82166,ESP,Aviation,1,2,No Deposit,0,Transient-Party,D,0,0,1
44679,PRT,Offline TA/TO,0,0,No Deposit,1,Transient,E,0,1,1
64902,PRT,Groups,0,5,No Deposit,122,Transient-Party,A,0,0,0
33553,PRT,Direct,0,1,No Deposit,0,Transient,F,1,3,0
26267,DEU,Online TA,0,0,No Deposit,0,Transient,B,1,0,0
76785,PRT,Direct,0,0,No Deposit,0,Group,F,0,1,0
6887,PRT,Complementary,4,0,No Deposit,0,Transient,A,0,1,0
1750,PRT,Direct,0,1,No Deposit,0,Transient,E,0,2,0
8990,BRA,Online TA,0,3,No Deposit,0,Transient,A,0,3,0
11062,PRT,Groups,0,0,No Deposit,379,Transient-Party,A,0,0,1
37071,DEU,Offline TA/TO,0,3,No Deposit,92,Transient-Party,A,0,0,0
112,DEU,Online TA,0,1,No Deposit,0,Transient,F,0,0,0
17634,PRT,Offline TA/TO,0,0,No Deposit,59,Transient-Party,A,0,1,0
56866,CYP,Groups,0,0,No Deposit,25,Transient-Party,A,0,2,0
2405,FRA,Direct,0,3,No Deposit,0,Transient,A,0,2,0
31066,PRT,Online TA,0,1,No Deposit,0,Transient-Party,H,1,2,0
1698,PRT,Online TA,0,1,No Deposit,0,Transient,D,0,4,0
751,PRT,Online TA,1,0,No Deposit,0,Contract,F,0,1,1
501,DEU,Online TA,0,2,No Deposit,0,Transient-Party,A,0,2,0
10035,FRA,Online TA,0,2,No Deposit,0,Transient,A,1,3,0
4060,FRA,Offline TA/TO,0,1,No Deposit,69,Transient-Party,A,0,0,0
10316,ESP,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,4,0
72021,PRT,Offline TA/TO,0,2,Non Refund,101,Transient,A,0,0,1
39962,DEU,Groups,0,1,No Deposit,60,Transient-Party,A,0,0,0
80619,PRT,Corporate,3,0,No Deposit,0,Transient,D,0,0,1
10178,PRT,Offline TA/TO,0,0,No Deposit,14,Transient-Party,A,0,0,1
41389,GBR,Offline TA/TO,0,1,No Deposit,0,Contract,D,0,3,0
2058,ESP,Direct,0,4,No Deposit,0,Transient,A,0,1,0
32293,PRT,Offline TA/TO,0,1,Non Refund,101,Transient,A,0,0,1
2593,ROU,Online TA,0,0,No Deposit,0,Transient-Party,G,1,2,0
30886,PRT,Online TA,1,0,No Deposit,0,Contract,D,0,0,1
5076,PRT,Online TA,0,1,No Deposit,0,Transient,F,0,3,0
9176,IRL,Groups,0,7,No Deposit,0,Transient-Party,A,0,0,0
2697,GBR,Online TA,0,1,No Deposit,0,Group,A,0,1,0
10464,PRT,Groups,3,0,No Deposit,31,Transient-Party,A,0,0,1
4588,FRA,Groups,0,0,No Deposit,38,Transient-Party,A,0,1,0
54317,PRT,Corporate,0,2,No Deposit,0,Transient-Party,C,0,0,0
49104,PRT,Corporate,2,1,No Deposit,0,Transient-Party,A,0,0,0
